... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock . ,0,349
"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",0,350
"( næs ) directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage . ",1,351
"a swashbuckling tale of love , betrayal , revenge and above all , faith . ",1,352
"for movie lovers as well as opera lovers , tosca is a real treat . ",1,353
"the film is quiet , threatening and unforgettable . ",1,354
there is no pleasure in watching a child suffer . ,0,355
"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . ",0,356
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . ,0,357
( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . ,1,358
"displaying about equal amounts of naiveté , passion and talent , beneath clouds establishes sen as a filmmaker of considerable potential . ",1,359
 easily my choice for one of the year 's best films . ' ,1,360
"a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . ",0,361
"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . ",1,362
it 's a grab bag of genres that do n't add up to a whole lot of sense . ,0,363
"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . ",0,364
"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . ",0,365
"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . ",1,366
there has always been something likable about the marquis de sade . ,1,367
"the humor is forced and heavy-handed , and occasionally simply unpleasant . ",0,368
